"fips"|"lar_count"
"28131"|613
"28133"|626
"28135"|223
"28137"|1224
"28139"|453
"28141"|561
"28143"|149
"28145"|727
"28147"|445
"28149"|1522
"28151"|1177
"28153"|408
"28155"|253
"28157"|215
"28159"|466
"28161"|383
"28163"|782
"29001"|475
"29003"|785
"29005"|125
"29007"|692
"29009"|1396
"29011"|366
"29013"|579
"29015"|700
"29017"|381
"29019"|6657
"29021"|3123
"29023"|1406
"29025"|332
"29027"|1660
"29029"|3377
"29031"|3341
"29033"|188
"29035"|142
"29037"|6188
"29039"|505
"29041"|117
"29043"|5004
"29045"|61
"29047"|14218
"29049"|1053
"29051"|2663
"29053"|571
"29055"|915
"29057"|258
"29059"|676
"29061"|195
"29063"|312
"29065"|441
"29067"|339
"29069"|441
"29071"|4880
"29073"|544
"29075"|134
"29077"|12840
"29079"|158
"29081"|139
"29083"|873
"29085"|355
"29087"|122
"29089"|296
"29091"|1065
"29093"|307
"29095"|32316
"29097"|4858
"29099"|14319
"29101"|2390
"29103"|25
"29105"|1466
"29107"|1334
"29109"|1378
"29111"|127
"29113"|3770
"29115"|317
"29117"|298
"29119"|773
"29121"|251
"29123"|345
"29125"|280
"29127"|683
"29129"|65
"29131"|866
"29133"|290
"29135"|510
"29137"|179
"29139"|386
"29141"|818
"29143"|437
"29145"|2438
"29147"|664
"29149"|192
"29151"|529
"29153"|229
"29155"|253
"29157"|950
"29159"|1286
"29161"|1051
"29163"|464
"29165"|5504
"29167"|1283
"29169"|1739
"29171"|92
"29173"|349
"29175"|683
"29177"|975
"29179"|225
"29181"|366
"29183"|27220
"29185"|201
"29186"|751
"29187"|2602
"29189"|49685
"29195"|695
"29197"|48
"29199"|38
"29201"|1370
"29203"|201
"29205"|69
"29207"|910
"29209"|1763
"29211"|84
"29213"|2206
"29215"|769
"29217"|626
"29219"|2234
"29221"|755
"29223"|315
"29225"|1787
"29227"|47
"29229"|634
"29510"|12667
"30001"|283
"30003"|122
"30005"|80
"30007"|364
"30009"|533
"30011"|15
"30013"|4140
"30015"|116
"30017"|363
"30019"|42
"30021"|247
"30023"|323
"30025"|65
"30027"|360
"30029"|5186
"30031"|5984
"30033"|15
"30035"|173
"30037"|18
"30039"|143
"30041"|406
"30043"|532
"30045"|61
"30047"|1022
"30049"|3153
"30051"|30
"30053"|648
"30055"|23
"30057"|562
"30059"|58
"30061"|203
"30063"|4984
"30065"|199
"30067"|828
"30069"|5
"30071"|75
"30073"|148
"30075"|26
"30077"|135
"30079"|35
"30081"|2123
"30083"|345
"30085"|104
"30087"|188
"30089"|361
"30091"|103
"30093"|1335
"30095"|452
"30097"|112
"30099"|173
"30101"|100
"30103"|9
"30105"|184
"30107"|37
"30109"|17
"30111"|8205
"31001"|938
"31003"|99
"31005"|5
"31007"|12
"31009"|5
"31011"|88
"31013"|299
"31015"|17
"31017"|56
"31019"|1335
"31021"|216
"31023"|239
"31025"|1579
"31027"|159
"31029"|115
"31031"|123
"31033"|262
"31035"|160
"31037"|225
"31039"|165
"31041"|168
"31043"|547
"31045"|290
"31047"|610
"31049"|42
"31051"|137
"31053"|1224
"31055"|25233
"31057"|30
"31059"|125
"31061"|75
"31063"|62
"31065"|96
"31067"|675
"31069"|49
"31071"|25
"31073"|53
"31075"|9
"31077"|35
"31079"|2118
"31081"|375
"31083"|62
"31085"|14
"31087"|38
"31089"|208
"31091"|6
"31093"|260
"31095"|147
"31097"|91
"31099"|205
"31101"|368
"31103"|5
"31105"|112
"31107"|138
"31109"|14456
"31111"|1226
"31113"|14
"31115"|9
"31117"|5
"31119"|906
"31121"|326
"31123"|83
"31125"|86
"31127"|158
"31129"|93
"31131"|540
"31133"|53
"31135"|89
"31137"|237
"31139"|141
"31141"|1047
"31143"|141
"31145"|297
"31147"|201
"31149"|12
"31151"|444
"31153"|9918
"31155"|975
"31157"|932
"31159"|768
"31161"|119
"31163"|55
"31165"|16
"31167"|137
"31169"|65
"31171"|7
"31173"|58
"31175"|77
"31177"|930
"31179"|130
"31181"|78
"31183"|4
"31185"|421
"32001"|1173
"32003"|132317
"32005"|3089
"32007"|2460
"32009"|8
"32011"|53
"32013"|647
"32015"|194
"32017"|153
"32019"|4196
"32021"|97
"32023"|2921
"32027"|147
"32029"|392
"32031"|27533
"32033"|326
"32510"|2957
"33001"|3344
"33003"|3094
"33005"|2461
"33007"|1003
"33009"|2725
"33011"|20635
"33013"|6881
"33015"|17562
"33017"|6010
"33019"|1232
"34001"|11318
"34003"|32316
"34005"|21520
"34007"|21333
"34009"|8801
"34011"|4542
"34013"|24032
"34015"|14392
"34017"|18994
"34019"|5655
"34021"|11965
"34023"|29400
"34025"|29985
"34027"|20402
"34029"|31910
"34031"|15496
"34033"|2507
"34035"|13158
"34037"|8169
"34039"|19591
"34041"|4522
"35001"|29573
"35003"|85
"35005"|1828
"35006"|395
"35007"|566
"35009"|1564
"35011"|20
"35013"|8099
"35015"|2368
"35017"|880
"35019"|78
"35021"|10
"35023"|67
"35025"|1835
"35027"|1132
"35028"|881
"35029"|723
"35031"|946
"35033"|67
"35035"|2191
"35037"|125
"35039"|950
"35041"|483
"35043"|8529
"35045"|3594
"35047"|773
"35049"|6956
"35051"|408
"35053"|319
"35055"|1138
"35057"|420
"35059"|102
"35061"|3000
"36001"|8968
"36003"|1070
"36005"|11789
"36007"|4598
"36009"|1705
"36011"|2199
"36013"|2696
"36015"|2595
"36017"|1127
"36019"|2065
"36021"|2120
"36023"|1185
"36025"|1193
"36027"|8964
"36029"|25763
"36031"|1189
"36033"|1103
"36035"|1425
"36037"|1483
"36039"|1883
"36041"|234
"36043"|2235
"36045"|3637
"36047"|32501
"36049"|905
"36051"|1890
"36053"|2116
"36055"|23480
"36057"|1199
"36059"|39831
"36061"|19831
"36063"|6117
"36065"|7275
"36067"|14578
"36069"|4136
"36071"|11990
"36073"|1086
"36075"|3653
"36077"|1498
"36079"|3171
"36081"|37516
"36083"|4895
"36085"|13483
"36087"|8585
"36089"|1987
"36091"|8813
